"","business_id","name","user_id","stars.x","Indian","Juice.Bars...Smoothies","Noodles","Salad","Seafood","postal_code","latitude","longitude","attributes.RestaurantsPriceRange2","attributes.WheelchairAccessible","attributes.RestaurantsGoodForGroups","attributes.OutdoorSeating","attributes.RestaurantsAttire","attributes.GoodForKids","attributes.WiFi","attributes.Alcohol","attributes.BusinessParking.garage","attributes.BusinessParking.street","attributes.BusinessParking.validated","attributes.BusinessParking.lot","attributes.BusinessParking.valet","African","American","Arabian","Asian","Bar","Breakfast","British","Central_America","Coffee_Shop","Dessert","Dietary_Restriction","European","Lunch","Mediterranean","Pacific","Pub","Russian","South_American","user_No","restaurant_No"
"1","-050d_XIor1NpCuWkbIVaQ","Billie","Weo1_9ktG94eVXa_22OWzg",4,0,0,0,0,0,85004,33.4566960574,-112.072327137,1,TRUE,FALSE,FALSE,"casual",TRUE,"no","none",FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,140,1
"2","-050d_XIor1NpCuWkbIVaQ","thomas","dSYvHAmpFlqXpqriXRyqbw",3,0,0,0,0,0,85004,33.4566960574,-112.072327137,1,TRUE,FALSE,FALSE,"casual",TRUE,"no","none",FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,165,1
"3","-050d_XIor1NpCuWkbIVaQ","Reza","dW9weacXClic4Pkwuwq8zQ",4,0,0,0,0,0,85004,33.4566960574,-112.072327137,1,TRUE,FALSE,FALSE,"casual",TRUE,"no","none",FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,356,1
"4","-050d_XIor1NpCuWkbIVaQ","Chris","2AZaPPRAWhDDO7k-jlpfwg",5,0,0,0,0,0,85004,33.4566960574,-112.072327137,1,TRUE,FALSE,FALSE,"casual",TRUE,"no","none",FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1
"5","-050d_XIor1NpCuWkbIVaQ","Gabriel","aIdtOiLjNMFTexCCH7V2vg",4,0,0,0,0,0,85004,33.4566960574,-112.072327137,1,TRUE,FALSE,FALSE,"casual",TRUE,"no","none",FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,331,1
"6","-050d_XIor1NpCuWkbIVaQ","Tiphanie","n5wQ7qm2QZY9iB8c25pzxA",5,0,0,0,0,0,85004,33.4566960574,-112.072327137,1,TRUE,FALSE,FALSE,"casual",TRUE,"no","none",FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,355,1
"7","-050d_XIor1NpCuWkbIVaQ","Danica","_jYEC7fvqTxu5R2jhk_NDQ",1,0,0,0,0,0,85004,33.4566960574,-112.072327137,1,TRUE,FALSE,FALSE,"casual",TRUE,"no","none",FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,146,1
"8","-050d_XIor1NpCuWkbIVaQ","T","YJYFsF4z-C2qODH5HnGXiw",2,0,0,0,0,0,85004,33.4566960574,-112.072327137,1,TRUE,FALSE,FALSE,"casual",TRUE,"no","none",FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,201,1
"9","-050d_XIor1NpCuWkbIVaQ","TRACY","fTME7hXl60V5VMQOdW_6xw",1,0,0,0,0,0,85004,33.4566960574,-112.072327137,1,TRUE,FALSE,FALSE,"casual",TRUE,"no","none",FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,291,1
"10","-050d_XIor1NpCuWkbIVaQ","Jon","8SgjU2fID9VqKQooFt1DIQ",5,0,0,0,0,0,85004,33.4566960574,-112.072327137,1,TRUE,FALSE,FALSE,"casual",TRUE,"no","none",FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,252,1
"11","-050d_XIor1NpCuWkbIVaQ","Mary","dEk7mXM4npuDPmxrwPcEgQ",3,0,0,0,0,0,85004,33.4566960574,-112.072327137,1,TRUE,FALSE,FALSE,"casual",TRUE,"no","none",FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,152,1
"12","-050d_XIor1NpCuWkbIVaQ","David","bgI4ypIPKwTQeow9H2i__Q",4,0,0,0,0,0,85004,33.4566960574,-112.072327137,1,TRUE,FALSE,FALSE,"casual",TRUE,"no","none",FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,1
"13","-050d_XIor1NpCuWkbIVaQ","Ron","axGqLJ9UWb7P4sBXafOeeA",5,0,0,0,0,0,85004,33.4566960574,-112.072327137,1,TRUE,FALSE,FALSE,"casual",TRUE,"no","none",FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,290,1
"14","-050d_XIor1NpCuWkbIVaQ","Kimberly","t3ScvrWXEGve3rfEVnRVBw",5,0,0,0,0,0,85004,33.4566960574,-112.072327137,1,TRUE,FALSE,FALSE,"casual",TRUE,"no","none",FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111,1
"15","-050d_XIor1NpCuWkbIVaQ","Justin","I4d-CbybQS7T__IrlaHOdA",5,0,0,0,0,0,85004,33.4566960574,-112.072327137,1,TRUE,FALSE,FALSE,"casual",TRUE,"no","none",FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62,1
"16","-050d_XIor1NpCuWkbIVaQ","Angie","GwOM1kyHnwTU-FgiDhbO1A",3,0,0,0,0,0,85004,33.4566960574,-112.072327137,1,TRUE,FALSE,FALSE,"casual",TRUE,"no","none",FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,128,1
